start_seconds,sensor,frames,mean_alignment_error_deg,p95_alignment_error_deg
472.5,RightForeArm,2400,0.29518745088893006,0.5427154747094337
472.5,LeftLowerLeg,2400,5.23612364567201,7.085898137017158
472.5,RightLowerLeg,2400,3.2077298427014505,4.1499988532093735
482.5,Pelvis,2400,0.8268854720702882,1.0817651052906776
482.5,LeftForeArm,2400,0.29072798659793486,0.7079372486436386
482.5,RightForeArm,2400,0.29792264567042065,0.657838312403072
482.5,LeftLowerLeg,2400,4.661992123308645,5.637826079066443
482.5,RightLowerLeg,2400,2.649240025467221,3.1416862648037274
492.5,Pelvis,2400,0.6494607235369542,1.0639485425069297
492.5,LeftForeArm,2400,0.4331653004865768,1.1727018027218197
492.5,RightForeArm,2400,0.4589856285875893,1.4129153524512936
492.5,LeftLowerLeg,2400,3.6249054494861244,4.06561017436562
492.5,RightLowerLeg,2400,2.6691375596611793,3.078091907182775
502.5,Pelvis,2400,0.7806474445687264,0.9063760394271345
502.5,LeftForeArm,2400,0.18343695456305653,0.2526032841141875
502.5,RightForeArm,2400,0.26033987825799654,0.3710903089192892
502.5,LeftLowerLeg,2400,3.3905661216570833,3.5321294294544807
502.5,RightLowerLeg,2400,2.6315306744220237,2.8548863200417265
512.5,Pelvis,2400,0.8449364537953372,1.2712376016973985
512.5,LeftForeArm,2400,0.2785905089729024,0.8085968786392534
512.5,RightForeArm,2400,0.5908759117806514,1.4296296064778273
512.5,LeftLowerLeg,2400,3.375305739578577,4.06857441665439
512.5,RightLowerLeg,2400,2.700287040666104,3.315321080503426
522.5,Pelvis,2400,0.7782742050068046,0.8810072979993927
522.5,LeftForeArm,2400,0.26314084486791517,0.6610880319469417
522.5,RightForeArm,2400,0.31790332998413184,0.8044385528826187
522.5,LeftLowerLeg,2400,3.5912480811537786,3.7856227735093206
522.5,RightLowerLeg,2400,2.8928725488481466,3.392816559766486
532.5,Pelvis,2400,0.696641788380404,0.8919091569039287
532.5,LeftForeArm,2400,0.27889546990195874,0.5631829067785699
532.5,RightForeArm,2400,0.38613368543730947,0.703152335487046
532.5,LeftLowerLeg,2400,3.171108936312678,3.5861406075612394
532.5,RightLowerLeg,2400,2.4445709859478404,2.732500405490082
542.5,Pelvis,2400,0.5639431642749506,0.5939407380949542
542.5,LeftForeArm,2400,0.17574545668417396,0.21721311158585507
542.5,RightForeArm,2400,0.24510719915062112,0.3258951068793453
542.5,LeftLowerLeg,2400,2.9155478094340777,3.069981721350354
542.5,RightLowerLeg,2400,2.331716047433018,2.4363795054650628
552.5,Pelvis,2400,0.5255751424988309,0.5658480793068165
552.5,LeftForeArm,2400,0.1739421082242619,0.20185438475204612
552.5,RightForeArm,2400,0.24310219839988192,0.3852712380684313
552.5,LeftLowerLeg,2400,2.8709375011628997,2.9506003916571726
552.5,RightLowerLeg,2400,2.311158006910827,2.428432904737476
562.5,Pelvis,2400,0.7356943447763239,0.9345524201637517
562.5,LeftForeArm,2400,0.1702680286264723,0.2162977317297152
562.5,RightForeArm,2400,0.26203200600226007,0.5443387485297313
562.5,LeftLowerLeg,2400,2.82723107361918,2.945749568400498
562.5,RightLowerLeg,2400,2.2666234467234245,2.42338431809265
572.5,Pelvis,2400,1.013203954658529,2.1558500252324686
572.5,LeftForeArm,2400,0.4079803879277748,1.2338036506799401
572.5,RightForeArm,2400,0.28984903907870746,0.576494804791868
572.5,LeftLowerLeg,2400,3.3773488247615573,4.846327380117558
572.5,RightLowerLeg,2400,2.6150174115363907,4.2654179887423345
582.5,Pelvis,2400,1.7954619461426933,3.6576861319289984
582.5,LeftForeArm,2400,0.25356106999710315,0.435715584429709
582.5,RightForeArm,2400,0.2804695419983414,0.661454884245551
582.5,LeftLowerLeg,2400,3.3118042630764397,3.874544618687522
582.5,RightLowerLeg,2400,2.5500734735134847,3.1738078400289083
592.5,Pelvis,2400,2.208176940877544,2.9007325858985724
592.5,LeftForeArm,2400,0.17241072333299395,0.2874711355200335
592.5,RightForeArm,2400,0.32158292032621205,0.8377714569546124
592.5,LeftLowerLeg,2400,2.893096012619739,3.3862062385738296
592.5,RightLowerLeg,2400,2.3091321308101445,2.818224494849782
602.5,Pelvis,2400,1.7749068835235335,2.4163438450533943
602.5,LeftForeArm,2400,0.1952229779634593,0.3341828719814267
602.5,RightForeArm,2400,0.2481607732286118,0.4980292288217757
602.5,LeftLowerLeg,2400,2.5839791431948775,2.8153161393592865
602.5,RightLowerLeg,2400,2.0775237589809765,2.6821923274339965
612.5,Pelvis,2400,1.2994561779924803,1.4669328604940615
612.5,LeftForeArm,2400,0.17348000811963205,0.25681642693381845
612.5,RightForeArm,2400,0.30226802462351043,0.6200779943245278
612.5,LeftLowerLeg,2400,2.556559115172708,2.783438021648798
612.5,RightLowerLeg,2400,2.0488362211112134,2.208494220471113
622.5,Pelvis,2400,1.1759504135459553,1.3097083559995153
622.5,LeftForeArm,2400,0.17291963406032043,0.21153990671776718
622.5,RightForeArm,2400,0.24723360297698455,0.3809630652221761
622.5,LeftLowerLeg,2400,2.5911013570148613,2.7060756229261105
